product_name,actual_price,discount_percentage,brand,rating,rating_count,subcategory,category,category_median_price,brand_avg_price,brand_product_count,manufacturing_cost,brand_tier,product_type,quality_tier,price_to_cost_ratio,price_to_category_median_ratio,price_to_brand_avg_ratio,complexity_score,technology_level,feature_count,price_segment,value_score,brand_strength,premium_index,price_elasticity,estimated_units_sold,seasonal_relevance,is_new_release,rating_x_count,search_term,main_category,discounted_price,price_competitiveness_ratio,profit_margin_ratio,competitor_undercut_potential,is_budget_segment,is_mid_segment,is_premium_segment,customer_attraction_score,feature_to_price_ratio,tech_value_proposition,relative_to_lowest_quartile,value_adjusted_price,category_price_index,demand_indicator,brand_power_price_ratio,new_seller_competitive_price,sustainable_price,ideal_customer_attraction_price,market_penetration_potential,elasticity_adjusted_value
Fosi Audio BT20A Bluetooth 5.0 Stereo Audio 2 Channel Amplifier Receiver Mini Hi-Fi Class D Integrated Amp 2.0 CH for Home Speakers 100W x 2 with Bass and Treble Control TPA3116 (with Power Supply),9999.0,26.0,Fosi,4.5,8444.0,amplifier,Audio,1890.0,8899.0,14,3699.5,mid-range,input_device,1.0,2.0,3.914814814814815,0.8314417350264075,0.5,1.0,8.0,premium,0.2298959318826868,40.68545134035695,3.914814814814815,0.7692307692307693,253320.0,0.2,0.0,37998.0,amplifier,Audio,7399.0,2.467567116891779,2.0,0.44999999999999996,0,1,0,-0.23707349524178278,0.0010812271928639006,0.4052574672253007,7.406406406406407,5698.000000000001,2.467567116891779,154.06676577915934,1.6488082963111275,5919.200000000001,4069.4500000000003,4069.4500000000003,0.05977892018151671,0.2988647114474928
"M-Audio BX4BT 4.5"" Studio Monitors & PC Speakers with Bluetooth for Recording and Multimedia with Music Production Software, 120W, Pair, black",20900.0,14.4,M-Audio,4.5,501.0,studio monitor,Audio,15490.0,16597.25,4,8945.0,mid-range,input_device,1.0,2.0,1.1549386701097482,1.07788940939011,0.5,1.0,8.0,mid-range,0.779262157629961,27.97472745488189,1.1549386701097482,1.0,15030.0,0.2,0.0,2254.5,studio monitor,Audio,17890.0,5.966316491579123,2.0,0.45,0,0,1,-1.6766457904348577,0.0004471771939631079,0.16760760201229738,17.90790790790791,3948.999999999998,5.966316491579123,3.7806036892118504,0.46887769856603323,14312.0,9839.5,9839.5,0.11222866480699435,0.779262157629961
"Akifi Craft Stand, Turntable Stand, Record Player Table, Record Player Stand Vintage, Record Player Stand Wooden, Turntable Stand with Record Storage (MagS:: Bronze)",5999.0,33.3,Akifi,1.0,1.0,vinyl record player,Audio,4994.0,3999.0,1,1999.5,mid-range,input_device,1.0,2.0,0.8007609130957148,1.0,0.5,1.0,8.0,mid-range,0.2497624406101525,0.0,0.8007609130957148,0.6006006006006006,30.0,0.2,0.0,1.0,vinyl record player,Audio,3999.0,1.3336668334167083,2.0,0.44999999999999996,0,1,0,-0.41707097609820165,0.002000500125031258,0.7498124531132784,4.003003003003003,3000.2000000000003,1.3336668334167083,0.007501875468867217,0.0,3199.2000000000003,2199.4500000000003,2199.4500000000003,0.08326802487419653,0.4158544636159039
Focusrite Scarlett Solo (3rd Gen) USB Audio Interface,14965.0,21.1,Focusrite,4.6,26600.0,dj controller,Audio,8419.78,11800.0,1,5900.0,mid-range,input_device,1.0,2.0,1.4014617959139073,1.0,0.5,1.0,8.0,mid-range,0.6564574237288135,46.86786587594104,1.4014617959139073,0.947867298578199,798000.0,0.2,0.0,122360.0,dj controller,Audio,11800.0,3.935300983825246,2.0,0.4499999999999999,0,0,1,-0.42785662543677283,0.0006779661016949153,0.25411016949152543,11.811811811811811,4053.8024,3.935300983825246,311.0847457627118,1.1909601341441458,9440.0,6490.000000000001,6490.000000000001,0.13883646816583328,0.6925625820338983
Audio Production and Critical Listening: Technical Ear Training (Audio Engineering Society Presents),7367.0,27.8,Audio,4.5,54.0,home theater system,Audio,2199.0,5322.0,1,2661.0,mid-range,input_device,1.0,2.0,2.4201909959072307,1.0,0.5,1.0,8.0,premium,0.3718714768883878,17.950428209539236,2.4201909959072307,0.7194244604316546,1620.0,0.2,0.0,243.0,home theater system,Audio,5322.0,1.774887443721861,2.0,0.44999999999999996,0,1,0,-0.1772537168285071,0.001503194287861706,0.5634160090191658,5.327327327327327,3342.9000000000005,1.774887443721861,1.3697857948139798,1.0113558622003644,4257.6,2927.1000000000004,2927.1000000000004,0.10322752412606935,0.516901352874859
Mackie Onyx Producer 2-2 2x2 24-bit/192kHz USB Audio Interface With MIDI,8968.0,34.2,Mackie,4.0,652.0,audio interface,Audio,7218.5,5274.0,2,2949.5,mid-range,input_device,1.0,2.0,0.8172057906767334,1.118505877891543,0.5,1.0,8.0,mid-range,0.9789455839972876,25.92017824770661,0.8172057906767334,0.5847953216374269,19560.0,0.2,0.0,2608.0,audio interface,Audio,5899.0,1.967316991829248,2.0,0.44999999999999996,0,1,0,0.4838145177143962,0.0013561620613663332,0.5083064926258688,5.904904904904905,124.20000000000049,1.967316991829248,13.26326496016274,1.3175394893329084,4719.2,3244.4500000000003,3244.4500000000003,0.3350115964861369,1.6739969486353619
"HUMBLE HB-C01 Lavalier Lapel Condenser Mic for Android, USB Type C Microphone for YouTube Vlogging Facebook Interview Livestream Video Recording and All(1.5 Meter)",1199.0,72.6,HUMBLE,3.6,239.0,condenser microphone,Audio,2899.0,362.3333333333333,3,164.5,mid-range,input_device,1.0,2.0,0.113487409451535,0.908003679852806,0.5,1.0,8.0,budget,6.344316109422492,19.71526878695344,0.113487409451535,0.2754820936639118,7170.0,0.2,0.0,860.4,condenser microphone,Audio,329.0,0.10972152743038185,2.0,0.44999999999999996,1,0,0,6.661036493527581,0.0243161094224924,9.113981762917934,0.32932932932932935,-1758.2799999999997,0.10972152743038185,78.45592705167174,17.968460017531882,263.2,180.95000000000002,849.15,4.603465400498389,23.02986747720365
CLUB BOLLYWOOD Portable Vinyl Record Inner Sleeves for Gramophone Record Turntable Player 7 inch | TV Video & Home Audio | Home Audio Stereos Components | Other Home Stereo Components,1554.0,50.0,CLUB,5.0,1.0,vinyl record player,Audio,4994.0,628.5,2,388.5,mid-range,input_device,1.0,2.0,0.1555867040448538,1.236276849642005,0.5,1.0,8.0,budget,6.427284427284427,0.0,0.1555867040448538,0.4,30.0,0.2,0.0,5.0,vinyl record player,Audio,777.0,0.2591295647823912,2.0,0.44999999999999996,1,0,0,6.297719644893231,0.010296010296010296,3.859073359073359,0.7777777777777778,-4217.0,0.2591295647823912,0.19305019305019305,0.0,621.6,427.35,849.15,3.2136422136422134,16.068211068211067
"Audio Array AM-W18 Wireless Karaoke Speaker with Microphone | Portable Bluetooth Speaker for Singing & Gifting with Voice Changer | Upto 8+ Hours of Playback | Bluetooth v5.3, SD Card & AUX in (Pink)",4999.0,74.0,Audio,4.5,90.0,karaoke microphone,Audio,1499.0,3155.846153846154,13,649.5,mid-range,input_device,1.0,2.0,0.866577718478986,0.4116170233510456,0.5,1.0,8.0,mid-range,1.038568129330254,20.2491435164862,0.866577718478986,0.2702702702702703,2700.0,0.2,0.0,405.0,karaoke microphone,Audio,1299.0,0.4332166083041521,2.0,0.44999999999999996,0,1,0,1.2036031124973274,0.006158583525789068,2.308314087759815,1.3003003003003002,-50.099999999999945,0.4332166083041521,9.353348729792147,4.674138324417542,1039.2,714.45,849.15,0.768694154535295,3.8427020785219397
"MX Gooseneck Microphone, Condenser Mic 15 INCH with Volume Control with Bell Button Conference mic for Meetings, Conference, Studio Audio Recording, Desk Microphone Other Occasions.",3000.0,33.4,Generic,4.1,7.0,condenser microphone,Audio,2899.0,1565.0,6,999.5,mid-range,input_device,1.0,2.0,0.6895481200413935,1.2773162939297125,0.5,1.0,8.0,mid-range,1.189184592296148,7.978231611126784,0.6895481200413935,0.5988023952095809,210.0,0.2,0.0,28.7,condenser microphone,Audio,1999.0,0.6666666666666666,2.0,0.44999999999999996,0,1,0,1.0062200158727044,0.00400200100050025,1.5,2.001001001001001,-378.1799999999997,0.6666666666666666,0.43071535767883934,1.1967347416690177,1599.2,1099.45,1099.45,0.3967912589628147,1.9859382691345668
