product_name,actual_price,discount_percentage,brand,rating,rating_count,subcategory,category,category_median_price,brand_avg_price,brand_product_count,manufacturing_cost,brand_tier,product_type,quality_tier,price_to_cost_ratio,price_to_category_median_ratio,price_to_brand_avg_ratio,complexity_score,technology_level,feature_count,price_segment,value_score,brand_strength,premium_index,price_elasticity,estimated_units_sold,seasonal_relevance,is_new_release,rating_x_count,search_term,main_category,discounted_price,price_competitiveness_ratio,profit_margin_ratio,competitor_undercut_potential,is_budget_segment,is_mid_segment,is_premium_segment,customer_attraction_score,feature_to_price_ratio,tech_value_proposition,relative_to_lowest_quartile,value_adjusted_price,category_price_index,demand_indicator,brand_power_price_ratio,new_seller_competitive_price,sustainable_price,ideal_customer_attraction_price,market_penetration_potential,elasticity_adjusted_value
"Klenzmo Gadget Cleaning Kit, 3-in-1 with Screen Cleaner, Brush, Premium Microfibre Cloth",349.0,25.8,Klenzmo,4.1,51.0,camera cleaning kit,Cameras,399.0,328.5,2,129.5,mid-range,input_device,1.0,2.0,0.6491228070175439,0.7884322678843226,0.5,1.0,8.0,budget,1.2632432432432432,16.120485094169734,0.6491228070175439,0.7751937984496123,1530.0,0.2,0.0,209.1,camera cleaning kit,Cameras,259.0,0.16202690021895527,2.0,0.44999999999999996,1,0,0,1.4962864396090971,0.03088803088803089,6.171814671814672,0.4758842443729904,-68.17999999999999,0.16202690021895527,24.220077220077215,9.949264642096649,207.20000000000002,142.45000000000002,462.6125,0.32576473321459,1.6295837837837839
"DIGITEK® (MCUV58 MM) 58mm MC UV Filter with 16 Multi-Coated Layers for DSLR Camera Lens Protection from UV Rays, Dust & Scratches",845.0,55.1,DIGITEK®,3.9,494.0,camera filter,Cameras,1699.0,364.0,4,189.5,mid-range,input_device,1.0,2.0,0.2230723955267804,1.0412087912087913,0.5,1.0,8.0,budget,3.496622691292876,24.18988851703289,0.2230723955267804,0.3629764065335753,14820.0,0.2,0.0,1926.6,camera filter,Cameras,379.0,0.2370972786987801,2.0,0.44999999999999996,1,0,0,3.8493374923358026,0.021108179419525065,4.217678100263852,0.6963711529627928,-946.22,0.2370972786987801,152.50131926121372,10.202516304611365,303.2,208.45000000000002,462.6125,1.9283149989851838,9.633195514511874
BRASS ZIPPER CLOSURE/CROSS BODY MESSENGER BAG/COTTON CANVAS/HAND MADE/ANTIQUE/VINTAGE/ECO FREAK/UNISEX/SUSTAINABLE/HIGHLY DURABLE...SIMPLY WASHABLE(HF),3999.0,61.1,BRASS,5.0,12.0,camera bag,Cameras,1503.5,1555.0,1,777.5,mid-range,input_device,1.0,2.0,1.034253408713003,1.0,0.5,1.0,8.0,mid-range,0.9668810289389068,12.42453324894,1.034253408713003,0.3273322422258592,360.0,0.2,0.0,60.0,camera bag,Cameras,1555.0,0.9727869878010635,2.0,0.4499999999999999,0,1,0,0.7225402538858113,0.005144694533762058,1.0279742765273312,2.857142857142857,51.4999999999999,0.9727869878010635,1.157556270096463,1.2772100577768868,1244.0,855.2500000000001,855.2500000000001,0.5909120366908448,2.9538215434083606
"SOUVENIR 24 Inch Camera Light Studio Photography Lights, Camera LED Video Soft Light Panel Flash with Remote Video Light Panel 2700K-6500K Photo Studio Lamp Light",7999.0,50.6,SOUVENIR,0.0,0.0,camera flash,Cameras,2946.5,3949.0,1,1974.5,mid-range,input_device,1.0,2.0,1.3402341761411845,1.0,0.5,1.0,8.0,mid-range,0.0,0.0,1.3402341761411845,0.3952569169960474,0.0,0.2,0.0,0.0,camera flash,Cameras,3949.0,2.470441038473569,2.0,0.44999999999999996,0,1,0,-1.2352205192367844,0.002025829323879463,0.40478602177766526,7.255856683509417,3949.0,2.470441038473569,0.0,0.0,3159.2000000000003,2171.9500000000003,2171.9500000000003,0.0,0.0
"Schsteindar® 10 PCS Photography Backdrop Support Spring Clamp 4.3""/11cm for Background Muslin, Canvas, Paper, Chromakey Screen, Heavy Duty Clip, Photo Studio, Backdrops Backgrounds Woodworking",3990.0,90.0,Schsteindar®,0.0,0.0,backdrop stand,Cameras,1605.0,399.0,1,199.5,mid-range,input_device,1.0,2.0,0.2485981308411215,1.0,0.5,1.0,8.0,budget,0.0,0.0,0.2485981308411215,0.2222222222222222,0.0,0.2,0.0,0.0,backdrop stand,Cameras,399.0,0.24960900844541759,2.0,0.44999999999999996,1,0,0,-0.12480450422270879,0.020050125313283207,4.006265664160401,0.7331189710610932,399.0,0.24960900844541759,0.0,0.0,319.20000000000005,219.45000000000002,462.6125,0.0,0.0
Canon PowerShot V10 13.1 MP Digital Camera with CMOS Sensor|13.1MP | 4K Vlogging Camera - Black,39996.0,6.6,Canon,4.2,79.0,vlogging camera,Cameras,6449.0,37349.0,1,18674.5,mid-range,input_device,1.0,2.0,5.791440533416034,1.0,0.5,1.0,8.0,premium,0.1450416343141717,18.35168098036149,5.791440533416034,1.0,2370.0,0.2,0.0,331.8,vlogging camera,Cameras,37349.0,23.365029715358148,2.0,0.44999999999999996,0,0,1,-11.17994878460208,0.00021419582853623927,0.04279900398939731,68.62471290767111,31931.84,23.365029715358148,0.2665131596562157,0.07854336674906381,29879.2,20541.95,20541.95,0.009599090059746292,0.1450416343141717
Fujifilm Instax Mini 11 Instant Camera (Charcoal Grey),8499.0,23.5,Fujifilm,4.2,29151.0,instant camera,Cameras,6499.0,10823.9,20,3249.5,mid-range,input_device,1.0,2.0,1.0,0.6004305287373313,0.5,1.0,8.0,mid-range,0.8400000000000001,43.177026885331706,1.0,0.851063829787234,874530.0,0.2,0.0,122434.2,instant camera,Cameras,6499.0,4.065686581169847,2.0,0.44999999999999996,0,0,1,-0.3516755348275771,0.0012309586090167718,0.2459609170641637,11.94120349104272,1039.8399999999995,4.065686581169847,565.1678719803047,1.0619861128820238,5199.200000000001,3574.4500000000003,3574.4500000000003,0.19767031415460648,0.9870000000000001
"BLACKPIXEL Wristlink Universal and Adjustable Wrist Strap for Camera,Phone,drone controller | Multi colour (Red,Green,Glue)",1599.0,37.5,BLACKPIXEL,4.2,15.0,camera strap,Cameras,399.0,1298.6666666666667,3,499.5,mid-range,input_device,1.0,2.0,2.5037593984962405,0.7692505133470225,0.5,1.0,8.0,premium,0.3354954954954955,11.373810844629284,2.5037593984962405,0.5333333333333333,450.0,0.2,0.0,63.0,camera strap,Cameras,999.0,0.6249609008445418,2.0,0.44999999999999996,0,1,0,0.24459776238245245,0.008008008008008008,1.6001001001001,1.8355535140101056,663.84,0.6249609008445418,1.8918918918918919,1.8199235871010921,799.2,549.45,549.45,0.12588949174315028,0.6290540540540541
Adcom 5 in 1 Mobile Phone Camera Lens Kit - Compatible with All iOS & Android Smartphones (Black),2999.0,44.6,Adcom,3.3,329.0,camera lens,Cameras,1661.0,2084.8571428571427,7,830.5,mid-range,input_device,1.0,2.0,1.0,0.796697272851857,0.5,1.0,8.0,mid-range,0.6599999999999999,19.126990577525728,1.0,0.4484304932735425,9870.0,0.2,0.0,1085.7,camera lens,Cameras,1661.0,1.039099155458242,2.0,0.44999999999999996,0,1,0,0.5130793154370976,0.00481637567730283,0.9623720650210716,3.0519062930638494,564.7400000000001,1.039099155458242,19.60927152317881,1.8407281419732016,1328.8000000000002,913.5500000000001,913.5500000000001,0.29445815271757253,1.4718000000000002
SSK Camera Sensor Cleaning Swab 24mm 16mm Dust Proof Full Frame and APS-C Lint Free Microfiber V Shape Head Cleanroom,1499.0,63.7,SSK,3.3,3.0,camera cleaning kit,Cameras,399.0,544.0,1,272.0,mid-range,input_device,1.0,2.0,1.363408521303258,1.0,0.5,1.0,8.0,mid-range,0.4840808823529411,3.625420552604762,1.363408521303258,0.3139717425431711,90.0,0.2,0.0,9.9,camera cleaning kit,Cameras,544.0,0.3403190491085393,2.0,0.4499999999999999,1,0,0,0.3845512063523968,0.014705882352941176,2.938419117647059,0.9995406522737712,280.66,0.3403190491085393,0.5459558823529411,1.0653005061284397,435.20000000000005,299.20000000000005,462.6125,0.308403764274222,1.5417976102941173
