product_name,actual_price,discount_percentage,brand,rating,rating_count,subcategory,category,category_median_price,brand_avg_price,brand_product_count,manufacturing_cost,brand_tier,product_type,quality_tier,price_to_cost_ratio,price_to_category_median_ratio,price_to_brand_avg_ratio,complexity_score,technology_level,feature_count,price_segment,value_score,brand_strength,premium_index,price_elasticity,estimated_units_sold,seasonal_relevance,is_new_release,rating_x_count,search_term,main_category,discounted_price,price_competitiveness_ratio,profit_margin_ratio,competitor_undercut_potential,is_budget_segment,is_mid_segment,is_premium_segment,customer_attraction_score,feature_to_price_ratio,tech_value_proposition,relative_to_lowest_quartile,value_adjusted_price,category_price_index,demand_indicator,brand_power_price_ratio,new_seller_competitive_price,sustainable_price,ideal_customer_attraction_price,market_penetration_potential,elasticity_adjusted_value
"13 in 1 Air Quality Monitor Indoor, with PM1/PM2.5/PM10/Particle Counter/AQI/Humidity/TVOC/Formaldehyde/Temperature Air Quality Tester for Home, Office, Portable Air Quality Tester",31040.0,29.6,Generic,5.0,1.0,air quality monitor,Climate Control,10999.0,12165.66777777778,9,10929.5,mid-range,input_device,1.0,2.0,1.987362487498864,1.7967776532520796,0.5,1.0,8.0,premium,0.5031794684111808,0.0,1.987362487498864,0.6756756756756757,30.0,0.2,0.0,5.0,air quality monitor,Climate Control,21859.0,7.469025702004361,2.0,0.44999999999999996,0,0,1,-3.2313333825909996,0.00036598197538771215,0.13388627110114826,25.596018735362996,10860.0,7.469025702004361,0.006862162038519603,0.0,17487.2,12022.45,12022.45,0.14883024160705705,0.7447056132485476
"Ouidad Advanced Climate Control Defrizzing Conditioner, 8.5 Ounce",5230.0,57.9,Ouidad,4.4,1215.0,air conditioner,Climate Control,6406.0,2200.0,1,1100.0,mid-range,input_device,1.0,2.0,0.3434280362160474,1.0,0.5,1.0,8.0,budget,2.5624,31.250997165408457,0.3434280362160474,0.3454231433506045,36450.0,0.2,0.0,5346.0,air conditioner,Climate Control,2200.0,0.751720414676316,2.0,0.45,0,1,0,2.8795130739615376,0.0036363636363636364,1.3302818181818181,2.576112412177986,-3437.2799999999997,0.751720414676316,72.9,4.157263332919441,1760.0,1210.0,1210.0,1.4845261950286806,7.4181479999999995
"Allin Exporters J40 Ultrasonic Humidifier Cool Mist Air Purifier for Dryness, Cold & Cough Large Capacity for Room, Baby, Plants, Bedroom (1 Year Warranty) (4 LTR)",5500.0,60.0,Allin,3.9,4885.0,air purifier,Climate Control,7469.0,2199.0,1,1099.5,mid-range,input_device,1.0,2.0,0.2944169232829026,1.0,0.5,1.0,8.0,mid-range,2.649304229195089,33.12630580145984,0.2944169232829026,0.3333333333333333,146550.0,0.2,0.0,19051.5,air purifier,Climate Control,2199.0,0.7513787235787359,2.0,0.44999999999999996,0,1,0,3.008172062719291,0.0036380172805820826,1.3308867667121418,2.5749414519906324,-3626.8200000000006,0.7513787235787359,259.9113233287858,4.408736202122255,1759.2,1209.45,1209.45,1.5900642291950888,7.9479126875852675
7SEVEN® Compatible for Whirlpool Ac Remote Original 192 Model Suitable Inverter and Non Inverter Air Conditioner Series 1 1.5 2 Ton Split and Window Remote Climate Control,799.0,43.8,7SEVEN®,3.4,28.0,air conditioner,Climate Control,6406.0,449.0,1,224.5,mid-range,input_device,1.0,2.0,0.0700905401186387,1.0,0.5,1.0,8.0,budget,9.70173719376392,11.329495334595691,0.0700905401186387,0.4566210045662101,840.0,0.2,0.0,95.2,air conditioner,Climate Control,449.0,0.1534193028134845,2.0,0.44999999999999996,1,0,0,9.876252727778608,0.017817371937639197,6.518084632516703,0.5257611241217799,-3907.08,0.1534193028134845,6.360801781737194,7.384660943459786,359.20000000000005,246.95000000000002,725.9,4.249822300146898,21.246804454342982
"Provirtec - Smart home thermostat with smart thermo-hygrometer, 7-day programmable touch screen, remote control, power saving portable thermostat, wire required",21874.0,18.3,Provirtec,3.8,14.0,smart thermostat,Climate Control,2143.0,17874.0,1,8937.0,mid-range,input_device,1.0,2.0,8.34064395706953,1.0,0.5,1.0,8.0,premium,0.0911200626608481,10.02841785253798,8.34064395706953,1.0,420.0,0.2,0.0,53.2,smart thermostat,Climate Control,17874.0,6.1073866781474875,2.0,0.44999999999999996,0,0,1,-2.7401987522101936,0.0004475774868524113,0.1637361530715005,20.929742388758783,16245.32,6.1073866781474875,0.08929170862705606,0.16420145605681272,14299.2,9830.7,9830.7,0.01666271603928831,0.0911200626608481
"CLEMATIS Cannon Blast Aroma Humidifier Blast Volcanic Crack Turret Aromatherapy Humidifier with 7 Colors LED Light, 2 Mode Creative Turret Colorful Aromatherapy Diffuser Silent Diffuser Black",1799.0,49.6,CLEMATIS,0.0,0.0,humidifier,Climate Control,1925.5,1574.3333333333333,3,899.5,mid-range,input_device,1.0,2.0,0.9343027784990912,1.1427059072623331,0.5,1.0,8.0,mid-range,0.0,0.0,0.9343027784990912,0.5,0.0,0.2,0.0,0.0,humidifier,Climate Control,1799.0,0.6147022845466784,2.0,0.44999999999999996,0,1,0,-0.3073511422733392,0.0044469149527515284,1.62680377987771,2.1065573770491803,1799.0,0.6147022845466784,0.0,0.0,1439.2,989.45,989.45,0.0,0.0
"WiFi Smart Thermostat for House, Programmable Thermostat Compatible with Alexa and Google Assistant, 7day Period Programmable, C-Wire Required, Energy Saving",22398.0,17.9,WiFi,4.1,52.0,smart thermostat,Climate Control,2143.0,18398.0,1,9199.0,mid-range,input_device,1.0,2.0,8.585160989267383,1.0,0.5,1.0,8.0,premium,0.0955136427872594,16.20009924618385,8.585160989267383,1.0,1560.0,0.2,0.0,213.2,smart thermostat,Climate Control,18398.0,6.286432813279483,2.0,0.4499999999999999,0,0,1,-2.688474676742513,0.0004348298728122622,0.15907272529622785,21.543325526932083,16640.74,6.286432813279483,0.3476464833134036,0.2576993937159831,14718.400000000001,10118.900000000001,10118.900000000001,0.01705753063438868,0.0955136427872594
"iBELL HU8501 Humidifier 1.5L, 25Watts with Double Spray Nozzle, Low Water Indicator (White)",3450.0,60.5,iBELL,3.2,15.0,humidifier,Climate Control,1925.5,1803.75,4,681.5,mid-range,input_device,1.0,2.0,0.7078680862113736,0.7556479556479556,0.5,1.0,8.0,mid-range,0.904123257520176,8.665760643527072,0.7078680862113736,0.3305785123966942,450.0,0.2,0.0,48.0,humidifier,Climate Control,1363.0,0.4657249660017358,2.0,0.44999999999999996,0,1,0,0.8634191417009407,0.00586940572267058,2.1471900220102715,1.5960187353629978,130.68000000000015,0.4657249660017358,1.0564930300807043,1.8607034786910637,1090.4,749.6500000000001,749.6500000000001,0.5469290546216252,2.7349728539985323
"USHA Mist Air Flo 400mm Pedestal Fan (Light Blue), Standard, (13102MAF4022) Pack of 1",4355.0,19.7,USHA,2.6,6.0,pedestal fan,Climate Control,3245.5,3061.5,4,1749.5,mid-range,input_device,1.0,2.0,1.0781081497458018,1.1429038053241876,0.5,1.0,8.0,mid-range,0.4823263789654187,4.658574619992943,1.0781081497458018,1.0,180.0,0.2,0.0,15.6,pedestal fan,Climate Control,3499.0,1.1955771504329227,2.0,0.45,0,1,0,-0.012160924822515518,0.002286367533581023,0.8364161188911117,4.097189695550352,1811.3400000000001,1.1955771504329227,0.13375250071448985,0.38965069032191324,2799.2000000000003,1924.45,1924.45,0.09480399090571721,0.4823263789654187
JusCliq UNIVERSAL Ceiling Fan Remote Control Regulator With 5 Step Fan Speed Ir Remote Controller for - UNIVERSAL,33750.0,98.0,JusCliq,0.0,0.0,ceiling fan,Climate Control,2399.0,675.0,1,337.5,mid-range,input_device,1.0,2.0,0.2813672363484785,1.0,0.5,1.0,8.0,mid-range,0.0,0.0,0.2813672363484785,0.2040816326530612,0.0,0.2,0.0,0.0,ceiling fan,Climate Control,675.0,0.23064149086659697,2.0,0.4499999999999999,1,0,0,-0.11532074543329848,0.011851851851851851,4.335733333333334,0.7903981264637002,675.0,0.23064149086659697,0.0,0.0,540.0,371.25000000000006,725.9,0.0,0.0
