Feature,Importance
customer_attraction_score,0.23374167
price_competitiveness_ratio,0.21112667
brand_power_price_ratio,0.19755225
feature_to_price_ratio,0.0946552
value_adjusted_price,0.07086351
manufacturing_cost,0.056494128
actual_price,0.0389412
relative_to_lowest_quartile,0.0348838
tech_value_proposition,0.02367724
brand_avg_price,0.017524868
rating_count,0.007796708
ideal_customer_attraction_price,0.006292066
brand_product_count,0.002928206
sustainable_price,0.00075759535
discount_percentage,0.00053360045
value_score,0.0004907302
demand_indicator,0.0003372576
rating,0.00027953644
price_elasticity,0.00019039621
price_to_category_median_ratio,0.00013461783
price_to_brand_avg_ratio,0.00013039472
premium_index,0.00012152035
elasticity_adjusted_value,0.00011332713
brand_strength,9.041945e-05
rating_x_count,7.2536095e-05
market_penetration_potential,7.169244e-05
profit_margin_ratio,7.043398e-05
category_price_index,5.531426e-05
competitor_undercut_potential,4.528898e-05
category_median_price,2.7813478e-05
quality_tier,0.0
new_seller_competitive_price,0.0
price_to_cost_ratio,0.0
complexity_score,0.0
feature_count,0.0
technology_level,0.0
estimated_units_sold,0.0
seasonal_relevance,0.0
is_premium_segment,0.0
is_mid_segment,0.0
is_budget_segment,0.0
is_new_release,0.0
