Feature,Importance
is_premium_segment,0.5457171
feature_to_price_ratio,0.21022324
price_competitiveness_ratio,0.13831809
relative_to_lowest_quartile,0.054907076
manufacturing_cost,0.020171447
brand_avg_price,0.010273846
actual_price,0.010002686
sustainable_price,0.00291785
customer_attraction_score,0.002474245
ideal_customer_attraction_price,0.0017761099
premium_index,0.0009959125
tech_value_proposition,0.0008559327
category_price_index,0.000548506
price_to_category_median_ratio,0.00032268223
price_elasticity,0.00020901137
rating,8.582926e-05
value_adjusted_price,7.546707e-05
discount_percentage,5.1723317e-05
estimated_units_sold,2.0116404e-05
category_median_price,1.8049563e-05
profit_margin_ratio,1.2960832e-05
is_mid_segment,1.2615632e-05
rating_count,2.2115817e-06
competitor_undercut_potential,2.0262703e-06
market_penetration_potential,1.538111e-06
brand_power_price_ratio,1.1526855e-06
brand_product_count,8.047674e-07
price_to_brand_avg_ratio,7.6242276e-07
brand_strength,2.7839448e-07
rating_x_count,2.0277429e-07
elasticity_adjusted_value,1.425393e-07
demand_indicator,1.3661023e-07
value_score,1.2677455e-07
is_budget_segment,4.1503384e-08
new_seller_competitive_price,1.6552972e-09
seasonal_relevance,0.0
feature_count,0.0
technology_level,0.0
complexity_score,0.0
price_to_cost_ratio,0.0
quality_tier,0.0
is_new_release,0.0
