Feature,Importance
relative_to_lowest_quartile,0.5059763
price_competitiveness_ratio,0.10658823
price_to_category_median_ratio,0.071765654
is_premium_segment,0.065090634
ideal_customer_attraction_price,0.06486403
manufacturing_cost,0.058559854
brand_avg_price,0.033813942
value_score,0.021168085
feature_to_price_ratio,0.013099972
rating,0.011829209
brand_product_count,0.0078928275
actual_price,0.0072099636
price_to_brand_avg_ratio,0.0067121116
tech_value_proposition,0.0063274032
rating_count,0.004217806
category_median_price,0.0041477648
price_elasticity,0.00274885
customer_attraction_score,0.0023906918
brand_strength,0.001888232
discount_percentage,0.001558227
demand_indicator,0.0015241946
premium_index,0.00033236158
elasticity_adjusted_value,0.00013124042
rating_x_count,9.216284e-05
value_adjusted_price,2.6766918e-05
sustainable_price,2.2737242e-05
market_penetration_potential,1.4605887e-05
brand_power_price_ratio,6.120136e-06
quality_tier,0.0
new_seller_competitive_price,0.0
price_to_cost_ratio,0.0
category_price_index,0.0
complexity_score,0.0
profit_margin_ratio,0.0
technology_level,0.0
feature_count,0.0
estimated_units_sold,0.0
seasonal_relevance,0.0
is_mid_segment,0.0
is_budget_segment,0.0
competitor_undercut_potential,0.0
is_new_release,0.0
