Feature,Importance
price_competitiveness_ratio,0.2603596
customer_attraction_score,0.21569505
feature_to_price_ratio,0.20401126
relative_to_lowest_quartile,0.102343984
manufacturing_cost,0.089723006
brand_avg_price,0.0717803
sustainable_price,0.022142908
actual_price,0.015389931
category_median_price,0.0055518206
ideal_customer_attraction_price,0.005184375
tech_value_proposition,0.0039009287
rating,0.0019486637
elasticity_adjusted_value,0.0005767648
is_mid_segment,0.00033144298
discount_percentage,0.0003126147
profit_margin_ratio,0.00024642432
value_adjusted_price,0.00017312601
price_to_category_median_ratio,0.00015258588
market_penetration_potential,0.00014542023
value_score,2.2497557e-05
rating_count,2.397435e-06
price_to_brand_avg_ratio,1.2792565e-06
estimated_units_sold,8.6704694e-07
price_elasticity,4.9808233e-07
brand_strength,4.449751e-07
new_seller_competitive_price,4.1822963e-07
brand_power_price_ratio,3.9308682e-07
premium_index,3.8080347e-07
brand_product_count,3.049893e-07
demand_indicator,1.3401258e-07
rating_x_count,1.2408589e-07
competitor_undercut_potential,6.933134e-08
category_price_index,4.176835e-09
technology_level,0.0
quality_tier,0.0
price_to_cost_ratio,0.0
is_premium_segment,0.0
feature_count,0.0
is_budget_segment,0.0
complexity_score,0.0
seasonal_relevance,0.0
is_new_release,0.0
