Feature,Importance
is_premium_segment,0.3353832
customer_attraction_score,0.20841347
price_competitiveness_ratio,0.1389843
relative_to_lowest_quartile,0.12932056
feature_to_price_ratio,0.07033866
sustainable_price,0.046167903
tech_value_proposition,0.022781976
value_adjusted_price,0.02052758
brand_power_price_ratio,0.0072470196
manufacturing_cost,0.00568616
actual_price,0.0040631257
ideal_customer_attraction_price,0.0027831728
value_score,0.0025642936
price_to_category_median_ratio,0.0018674319
brand_avg_price,0.0017800631
premium_index,0.0014786145
brand_product_count,0.0001464542
profit_margin_ratio,0.000104773346
discount_percentage,6.514849e-05
category_price_index,5.2414267e-05
competitor_undercut_potential,3.943618e-05
category_median_price,3.477999e-05
brand_strength,3.164244e-05
demand_indicator,2.969609e-05
elasticity_adjusted_value,1.9133988e-05
estimated_units_sold,1.6950024e-05
rating_x_count,1.6600748e-05
rating,1.5923368e-05
price_to_brand_avg_ratio,1.4038992e-05
market_penetration_potential,1.2099406e-05
rating_count,9.707178e-06
price_elasticity,3.553709e-06
price_to_cost_ratio,0.0
new_seller_competitive_price,0.0
quality_tier,0.0
complexity_score,0.0
is_budget_segment,0.0
technology_level,0.0
feature_count,0.0
seasonal_relevance,0.0
is_mid_segment,0.0
is_new_release,0.0
