Feature,Importance
ideal_customer_attraction_price,0.34317115
is_premium_segment,0.19005466
relative_to_lowest_quartile,0.17174248
feature_to_price_ratio,0.111756936
manufacturing_cost,0.06588467
price_competitiveness_ratio,0.051589612
brand_avg_price,0.041635875
rating,0.012144454
tech_value_proposition,0.0038584876
price_to_category_median_ratio,0.0023545914
is_mid_segment,0.0022733184
actual_price,0.0017774364
discount_percentage,0.0009294877
customer_attraction_score,0.00035221918
sustainable_price,0.0002892207
brand_product_count,0.00012223795
brand_power_price_ratio,2.8927585e-05
premium_index,1.5814447e-05
category_price_index,4.9527234e-06
estimated_units_sold,4.1231597e-06
value_adjusted_price,3.1699628e-06
elasticity_adjusted_value,2.6838807e-06
price_to_brand_avg_ratio,8.325283e-07
rating_count,6.973712e-07
brand_strength,6.12609e-07
profit_margin_ratio,6.0913754e-07
category_median_price,2.2189826e-07
value_score,1.5251142e-07
market_penetration_potential,1.3002372e-07
price_elasticity,9.3977015e-08
demand_indicator,6.9498014e-08
rating_x_count,6.0884794e-08
is_budget_segment,1.7955948e-09
new_seller_competitive_price,0.0
quality_tier,0.0
complexity_score,0.0
price_to_cost_ratio,0.0
seasonal_relevance,0.0
technology_level,0.0
feature_count,0.0
competitor_undercut_potential,0.0
is_new_release,0.0
