Feature,Importance
customer_attraction_score,0.43227655
manufacturing_cost,0.24958095
price_competitiveness_ratio,0.19337167
feature_to_price_ratio,0.11573257
tech_value_proposition,0.0037098536
actual_price,0.0022060634
rating,0.001330065
relative_to_lowest_quartile,0.00084999145
brand_power_price_ratio,0.00059036195
premium_index,0.0001063911
market_penetration_potential,5.2906304e-05
demand_indicator,4.9584996e-05
price_to_category_median_ratio,3.8746373e-05
elasticity_adjusted_value,1.5992255e-05
brand_avg_price,1.4507066e-05
discount_percentage,1.2895138e-05
price_to_brand_avg_ratio,1.1788766e-05
brand_product_count,6.195103e-06
value_adjusted_price,5.5098967e-06
category_median_price,5.277481e-06
rating_x_count,4.830151e-06
price_elasticity,4.762282e-06
profit_margin_ratio,4.548184e-06
competitor_undercut_potential,3.995383e-06
sustainable_price,3.0801216e-06
is_mid_segment,2.8155641e-06
value_score,2.4568178e-06
brand_strength,2.314684e-06
rating_count,2.0625753e-06
estimated_units_sold,1.194246e-06
category_price_index,0.0
new_seller_competitive_price,0.0
ideal_customer_attraction_price,0.0
feature_count,0.0
is_premium_segment,0.0
quality_tier,0.0
price_to_cost_ratio,0.0
is_budget_segment,0.0
complexity_score,0.0
seasonal_relevance,0.0
technology_level,0.0
is_new_release,0.0
