Feature,Importance
log_discounted_price,0.39565697
price_percentile,0.32800215
price_relative_to_median,0.22776435
price_segment_numeric,0.0148767335
brand_avg_price,0.0067957304
price_to_cost_ratio,0.0039770175
discount_percentage,0.0038890298
brand_strength,0.0036916053
rating_count,0.003689922
price_to_brand_avg_ratio,0.0033282756
margin_percentage,0.0028974689
rating,0.0026243913
category_median_price,0.0015840596
rating_x_count,0.0012223028
quality_tier,0.0
is_new_release,0.0
brand_product_count,0.0
discount_amount,0.0
estimated_units_sold,0.0
seasonal_relevance,0.0
price_to_category_median_ratio,0.0
price_elasticity,0.0
premium_index,0.0
feature_count,0.0
technology_level,0.0
complexity_score,0.0
value_score,0.0
