Feature,Importance
price_percentile,0.40054482
log_discounted_price,0.3702948
price_relative_to_median,0.14094065
price_segment_numeric,0.014218727
discount_percentage,0.008946349
rating_count,0.008931843
price_to_brand_avg_ratio,0.008229035
price_to_cost_ratio,0.007072463
rating_x_count,0.006350501
brand_product_count,0.005832101
discount_amount,0.0058276076
estimated_units_sold,0.0056066057
value_score,0.005205438
price_to_category_median_ratio,0.004694835
brand_avg_price,0.003910513
margin_percentage,0.0033937532
rating,0.0
brand_strength,0.0
premium_index,0.0
quality_tier,0.0
feature_count,0.0
seasonal_relevance,0.0
is_new_release,0.0
technology_level,0.0
complexity_score,0.0
category_median_price,0.0
price_elasticity,0.0
