Feature,Importance
price_percentile,0.34871405
log_discounted_price,0.34555504
price_relative_to_median,0.2786942
price_segment_numeric,0.012095118
price_to_cost_ratio,0.007315657
margin_percentage,0.0027587744
discount_amount,0.0017800137
price_to_category_median_ratio,0.0011839843
brand_avg_price,0.0011159732
premium_index,0.0007872287
rating_x_count,0.0
is_new_release,0.0
seasonal_relevance,0.0
estimated_units_sold,0.0
price_elasticity,0.0
discount_percentage,0.0
brand_strength,0.0
rating,0.0
feature_count,0.0
technology_level,0.0
complexity_score,0.0
price_to_brand_avg_ratio,0.0
quality_tier,0.0
brand_product_count,0.0
category_median_price,0.0
rating_count,0.0
value_score,0.0
